year,month,scam_type,age_group,location,report_count,total_loss,date
2025,5,phishing,35-44,QLD,31,9853,2025-05-01
2022,11,financial fraud,35-44,QLD,23,35934,2022-11-01
2023,2,task-based scam,65+,QLD,23,16530,2023-02-01
2025,10,identity theft,65+,QLD,8,22880,2025-10-01
2021,10,phishing,55-64,NT,35,40553,2021-10-01
2023,6,task-based scam,55-64,WA,34,686,2023-06-01
2023,2,investment,45-54,VIC,17,3802,2023-02-01
2025,11,identity theft,55-64,WA,23,33266,2025-11-01
2020,9,investment,25-34,NSW,33,40180,2020-09-01
2021,12,investment,55-64,WA,9,17077,2021-12-01
2025,5,identity theft,18-24,NT,14,2536,2025-05-01
2021,7,phishing,45-54,ACT,17,19453,2021-07-01
2021,4,task-based scam,55-64,WA,6,30620,2021-04-01
2023,12,identity theft,35-44,TAS,31,17747,2023-12-01
2022,2,phishing,35-44,QLD,43,12479,2022-02-01
2021,3,identity theft,25-34,WA,44,2832,2021-03-01
2024,5,identity theft,55-64,NSW,14,26482,2024-05-01
2023,1,phishing,18-24,NSW,23,14709,2023-01-01
2020,12,investment,35-44,SA,8,6314,2020-12-01
2022,4,financial fraud,45-54,NSW,16,9493,2022-04-01
2024,4,phishing,45-54,ACT,38,11679,2024-04-01
2024,2,financial fraud,25-34,VIC,37,38938,2024-02-01
2020,9,financial fraud,18-24,NSW,18,49189,2020-09-01
2022,6,identity theft,45-54,TAS,30,14469,2022-06-01
2023,9,phishing,55-64,NSW,25,22403,2023-09-01
2019,6,phishing,25-34,QLD,46,32799,2019-06-01
2022,2,investment,45-54,TAS,49,16888,2022-02-01
2020,1,financial fraud,55-64,VIC,38,30100,2020-01-01
2024,4,investment,45-54,QLD,1,48569,2024-04-01
2023,1,task-based scam,45-54,QLD,20,30709,2023-01-01
2022,8,financial fraud,55-64,TAS,4,1217,2022-08-01
2019,11,investment,45-54,SA,47,3896,2019-11-01
2019,1,investment,55-64,NSW,11,14262,2019-01-01
2021,5,financial fraud,65+,VIC,5,39091,2021-05-01
2021,9,investment,45-54,VIC,16,8356,2021-09-01
2025,1,task-based scam,45-54,SA,4,17470,2025-01-01
2020,4,phishing,35-44,TAS,27,46548,2020-04-01
2022,8,task-based scam,45-54,VIC,1,19426,2022-08-01
2022,8,financial fraud,65+,NT,33,17118,2022-08-01
2025,1,identity theft,55-64,VIC,44,12093,2025-01-01
2024,8,financial fraud,35-44,WA,43,20214,2024-08-01
2024,11,phishing,35-44,WA,12,17808,2024-11-01
2025,12,task-based scam,45-54,VIC,43,32541,2025-12-01
2024,3,investment,18-24,WA,39,43541,2024-03-01
2021,11,investment,65+,NT,15,18121,2021-11-01
2022,7,identity theft,45-54,QLD,17,49174,2022-07-01
2025,10,task-based scam,65+,SA,13,5826,2025-10-01
2022,11,investment,35-44,NT,25,25837,2022-11-01
2019,1,financial fraud,35-44,QLD,15,26779,2019-01-01
2021,5,investment,45-54,NT,11,43388,2021-05-01
2023,4,phishing,45-54,SA,45,43967,2023-04-01
2021,4,task-based scam,55-64,VIC,24,19036,2021-04-01
2025,12,investment,25-34,ACT,38,33463,2025-12-01
2023,5,investment,45-54,NT,15,46838,2023-05-01
2019,3,phishing,45-54,WA,5,42381,2019-03-01
2025,7,investment,65+,VIC,29,26979,2025-07-01
2020,2,identity theft,25-34,VIC,9,10439,2020-02-01
2022,1,task-based scam,35-44,WA,46,22282,2022-01-01
2019,6,investment,65+,NSW,44,42929,2019-06-01
2022,12,financial fraud,35-44,ACT,7,17065,2022-12-01
